2025-01-19 15:45:44 startup archives install
2025-01-19 15:45:45 install base-passwd:armel <none> 3.5.43
2025-01-19 15:45:45 status half-installed base-passwd:armel 3.5.43
2025-01-19 15:45:45 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:45 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:45 configure base-passwd:armel 3.5.43 3.5.43
2025-01-19 15:45:45 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:45 status half-configured base-passwd:armel 3.5.43
2025-01-19 15:45:45 status installed base-passwd:armel 3.5.43
2025-01-19 15:45:45 startup archives install
2025-01-19 15:45:45 install base-files:armel <none> 9.9+deb9u13
2025-01-19 15:45:45 status half-installed base-files:armel 9.9+deb9u13
2025-01-19 15:45:45 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:45 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 configure base-files:armel 9.9+deb9u13 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:46 status half-configured base-files:armel 9.9+deb9u13
2025-01-19 15:45:47 status installed base-files:armel 9.9+deb9u13
2025-01-19 15:45:47 startup archives install
2025-01-19 15:45:47 upgrade dpkg 1.18.25 1.18.25
2025-01-19 15:45:47 status half-configured dpkg 1.18.25
2025-01-19 15:45:47 status unpacked dpkg 1.18.25
2025-01-19 15:45:47 status half-installed dpkg 1.18.25
2025-01-19 15:45:48 status half-installed dpkg 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 configure dpkg:armel 1.18.25 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status unpacked dpkg:armel 1.18.25
2025-01-19 15:45:48 status half-configured dpkg:armel 1.18.25
2025-01-19 15:45:48 status installed dpkg:armel 1.18.25
2025-01-19 15:45:48 startup archives install
2025-01-19 15:45:48 install libc6:armel <none> 2.24-11+deb9u4
2025-01-19 15:45:48 status half-installed libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:49 status unpacked libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:49 status unpacked libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:49 configure libc6:armel 2.24-11+deb9u4 2.24-11+deb9u4
2025-01-19 15:45:49 status unpacked libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:49 status unpacked libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:49 status half-configured libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:50 status installed libc6:armel 2.24-11+deb9u4
2025-01-19 15:45:50 startup archives install
2025-01-19 15:45:50 install perl-base:armel <none> 5.24.1-3+deb9u7
2025-01-19 15:45:50 status half-installed perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 configure perl-base:armel 5.24.1-3+deb9u7 5.24.1-3+deb9u7
2025-01-19 15:45:51 status unpacked perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 status half-configured perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 status installed perl-base:armel 5.24.1-3+deb9u7
2025-01-19 15:45:51 startup archives install
2025-01-19 15:45:51 install mawk:armel <none> 1.3.3-17+b3
2025-01-19 15:45:51 status half-installed mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 configure mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2025-01-19 15:45:51 status unpacked mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 status half-configured mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 status installed mawk:armel 1.3.3-17+b3
2025-01-19 15:45:51 startup archives install
2025-01-19 15:45:51 install debconf:all <none> 1.5.61
2025-01-19 15:45:51 status half-installed debconf:all 1.5.61
2025-01-19 15:45:51 status unpacked debconf:all 1.5.61
2025-01-19 15:45:51 status unpacked debconf:all 1.5.61
2025-01-19 15:45:51 configure debconf:all 1.5.61 1.5.61
2025-01-19 15:45:51 status unpacked debconf:all 1.5.61
2025-01-19 15:45:51 status unpacked debconf:all 1.5.61
2025-01-19 15:45:51 status unpacked debconf:all 1.5.61
2025-01-19 15:45:51 status half-configured debconf:all 1.5.61
2025-01-19 15:45:52 status installed debconf:all 1.5.61
2025-01-19 15:45:52 startup archives unpack
2025-01-19 15:45:52 upgrade base-files:armel 9.9+deb9u13 9.9+deb9u13
2025-01-19 15:45:53 status half-configured base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 status half-installed base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 status half-installed base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 status unpacked base-files:armel 9.9+deb9u13
2025-01-19 15:45:53 upgrade base-passwd:armel 3.5.43 3.5.43
2025-01-19 15:45:53 status half-configured base-passwd:armel 3.5.43
2025-01-19 15:45:53 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:53 status half-installed base-passwd:armel 3.5.43
2025-01-19 15:45:53 status half-installed base-passwd:armel 3.5.43
2025-01-19 15:45:53 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:53 status unpacked base-passwd:armel 3.5.43
2025-01-19 15:45:53 install bash:armel <none> 4.4-5
2025-01-19 15:45:53 status half-installed bash:armel 4.4-5
2025-01-19 15:45:53 status unpacked bash:armel 4.4-5
2025-01-19 15:45:53 status unpacked bash:armel 4.4-5
2025-01-19 15:45:53 install bsdutils:armel <none> 1:2.29.2-1+deb9u1
